Plaats,bib,Naam,Swim,Wis1,Bike,Wis2,Run,Eindtijd
111,1066,Mathijs Leurs,15:12,2:56,49:16:00,1:56,27:01:00,01:36:20
112,1073,RenÃƒÂ© Mulder,12:48,2:10,48:50:00,1:26,31:17:00,01:36:30
113,1125,Frank van Westerop,18:19,4:49,48:12:00,1:45,23:47,01:36:50
114,1116,Chris Vermeulen,15:20,2:29,49:14:00,1:26,29:47:00,01:38:15
115,1025,Danny van Dijk,16:55,4:25,49:25:00,2:02,26:03:00,01:38:48
116,1240,Irmo Keulen,15:09,1:35,48:30:00,1:30,33:32:00,01:40:14
117,1086,Edo Pruim,17:06,3:00,53:16:00,2:33,26:27:00,01:42:19
118,1245,Korstiaan Wassenaar,20:11,3:15,53:21:00,1:35,27:33:00,01:45:53
119,1022,Erik ten Buren,18:09,3:15,47:20:00,3:12,34:21:00,01:46:14
120,1241,Ronald Remijn,18:37,2:20,59:12:00,1:50,29:46:00,01:51:44
121,1029,Werner Walraven,22:27,4:09,59:24:00,0:38,26:29:00,01:53:04
DNF,1094,Alan Simmonds,13:15,1:05,42:16:00,00:53:00,,
DNF,1119,Maurice Vlek,13:04,1:29,46:20:00,DNF,,
DNF,1100,Thierry Spaans,14:49,1:24,41:08:00,DNF,,
